                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6238,                  3.439,                 1.7307,                0.18929,                0.27185,                0.10766,                0.05309,                 2.3245,                 4.9991,                 2.6335,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.4019,                 2.3609,                 1.5916,                0.03311,                0.64675,                0.03053,                0.01517,                 1.9175,                 142.22,                 2.6196,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.3891,                 2.2128,                 1.4618,                0.09482,                0.70449,                0.08407,                 0.0364,                 1.9509,                    inf,                 7.7094,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.5321,                 2.1398,                 1.6808,                0.09482,                0.70449,                0.08407,                 0.0364,                 4.0078,                    inf,                 401.09,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.6601,                  2.258,                 1.7719,                0.00035,                0.06977,                 0.0002,                  7e-05,                    nan,                    nan,                    nan,             0.00070443,             0.00070443,             0.00070443
                      6,                  1.661,                   2.13,                 1.6985,                0.00035,                0.06977,                 0.0002,                  7e-05,                    nan,                    nan,                    nan,             0.00083978,             0.00083978,             0.00083978
                      7,                  1.598,                 2.1234,                 1.7554,                0.00148,                0.08099,                0.00087,                0.00038,                    nan,                    nan,                    nan,             0.00097215,             0.00097215,             0.00097215
                      8,                  1.573,                 1.9927,                 1.7029,                0.00148,                0.08099,                0.00087,                0.00038,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.5693,                 2.0863,                 1.7294,                0.00148,                0.08099,                0.00087,                0.00038,                    nan,                    nan,                    nan,               0.001228,               0.001228,               0.001228
                     10,                 1.6032,                 1.9777,                 1.6812,                0.00111,                0.12711,                0.00074,                0.00022,                    nan,                    nan,                    nan,              0.0013514,              0.0013514,              0.0013514
                     11,                  1.559,                 1.8911,                 1.7012,                0.00111,                0.12711,                0.00074,                0.00022,                    nan,                    nan,                    nan,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.7195,                 2.0342,                 1.7707,                0.00111,                0.12711,                0.00074,                0.00022,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.5197,                 1.7979,                 1.6781,                0.00297,                0.26584,                0.00218,                0.00076,                    nan,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     14,                 1.6342,                 1.7954,                 1.7185,                0.00364,                0.46151,                0.00248,                0.00076,                 3.8602,                    inf,                 114.96,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.5465,                  1.908,                 1.6541,                0.00113,                0.15116,                 0.0011,                0.00033,                 4.0914,                    inf,                 99.635,               0.001436,               0.001436,               0.001436
                     16,                 1.6105,                 2.0832,                 1.6881,                 0.0059,                0.11628,                0.00281,                0.00075,                 4.0667,                    inf,                 8.7996,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5001,                 1.7458,                 1.5929,                0.03353,                0.40377,                0.01885,                0.00839,                 2.3579,                 76.395,                 3.6463,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.5283,                 1.7383,                 1.6261,                0.11384,                 0.3749,                0.07291,                0.02728,                 2.7296,                  20.34,                 3.3117,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4627,                 1.6546,                 1.5772,                0.11183,                0.46151,                0.10557,                0.05421,                 2.1228,                 14.173,                 2.3326,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4546,                 1.7007,                 1.6225,                0.12149,                 0.5421,                0.19233,                0.10843,                 1.6597,                 6.4882,                 1.8229,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.3209,                 1.5723,                 1.4789,                0.39413,                0.32132,                0.36402,                0.17581,                 1.6111,                  5.477,                 1.8423,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.4182,                  1.547,                 1.5045,                 0.6063,                0.51806,                0.56713,                0.27963,                 1.6208,                 2.9746,                 1.9564,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3562,                 1.5185,                 1.5073,                0.52792,                0.55373,                0.55003,                0.27865,                 1.6551,                 5.7256,                 1.9877,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4052,                 1.6297,                  1.574,                0.51515,                0.54605,                0.47363,                0.23937,                 1.7521,                  4.867,                 2.1202,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.347,                 1.5666,                 1.5164,                0.40791,                0.57097,                0.52764,                0.29192,                  1.563,                 4.9507,                 1.7519,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.4026,                 1.5666,                 1.5233,                0.48837,                0.66399,                0.60517,                0.29262,                 1.4838,                 4.9837,                 1.6834,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3021,                 1.4739,                 1.4653,                0.31472,                 0.5461,                0.40396,                0.22468,                 1.5053,                 5.5007,                 1.7024,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.4182,                  1.603,                 1.5339,                0.53502,                0.61748,                0.61767,                0.32457,                 1.5224,                  2.264,                 1.7442,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3092,                 1.4705,                 1.4766,                0.54103,                0.73897,                0.65971,                0.37364,                  1.476,                 2.1191,                 1.6298,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.2677,                 1.4007,                 1.3979,                0.65726,                0.68725,                0.65658,                0.33714,                 1.4569,                 2.1835,                 1.6475,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2448,                 1.3787,                 1.4451,                0.75314,                0.59083,                0.65509,                0.32613,                 1.6105,                 1.9813,                 1.7371,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2925,                 1.3573,                 1.4301,                0.69877,                0.65636,                0.69728,                0.35414,                 1.5781,                 1.5653,                 1.7014,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.2322,                  1.344,                 1.4111,                0.54632,                0.63553,                0.63285,                 0.3205,                 1.5915,                 1.6465,                 1.7036,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1905,                 1.2943,                 1.3697,                0.67344,                0.70489,                0.75516,                0.46356,                 1.4094,                 1.5649,                  1.583,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2071,                 1.3224,                 1.4308,                0.61415,                0.65237,                0.70908,                0.41533,                  1.525,                 1.6838,                 1.6675,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2732,                 1.2777,                  1.424,                0.73136,                0.74439,                0.79262,                0.49459,                 1.3424,                 1.4184,                 1.4703,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2404,                 1.3257,                 1.4114,                0.81061,                0.70449,                0.77859,                0.45782,                 1.4014,                  1.381,                 1.5504,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1918,                 1.2672,                 1.3734,                0.75198,                0.69739,                0.78252,                 0.4974,                 1.3148,                 1.5193,                 1.4412,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2303,                 1.2844,                 1.4342,                 0.8882,                 0.6239,                0.77377,                0.48945,                 1.3376,                 1.5414,                 1.4664,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2144,                 1.3196,                 1.3954,                0.39435,                0.53608,                0.33188,                0.19628,                 1.5443,                 4.3085,                 1.7351,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2158,                 1.2393,                 1.3809,                0.44753,                0.57177,                 0.3279,                0.16553,                 1.6548,                 38.188,                 1.9189,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1503,                 1.2448,                 1.3428,                0.30536,                0.72775,                0.33796,                0.17519,                 1.4667,                 10.704,                 1.5669,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1917,                 1.2474,                 1.3932,                0.51859,                0.70425,                0.57517,                0.34723,                 1.4313,                 2.3562,                 1.5058,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2669,                 1.2104,                 1.3893,                0.89324,                0.71678,                0.84636,                0.52218,                 1.3596,                 1.3394,                 1.4445,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1746,                 1.1824,                 1.3742,                0.76683,                0.78797,                0.87051,                0.55293,                  1.318,                 1.2195,                 1.4376,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1922,                 1.1435,                 1.3162,                0.72933,                0.84491,                0.86617,                0.53204,                 1.3838,                 1.1275,                 1.4873,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1009,                 1.1535,                 1.3438,                0.84706,                0.69928,                0.81199,                0.49838,                 1.4472,                 1.2439,                 1.5242,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1957,                 1.1298,                 1.3582,                0.72885,                0.80874,                0.82547,                0.49816,                 1.4249,                 1.3538,                  1.566,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1322,                 1.1571,                 1.3754,                0.76459,                0.81097,                0.83953,                0.50977,                 1.4352,                 1.2606,                 1.5535,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1602,                 1.1389,                 1.3761,                0.83425,                0.82822,                0.85818,                0.51456,                 1.4016,                 1.1284,                 1.5461,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1131,                 1.1669,                   1.34,                0.79499,                0.74539,                0.80662,                0.51238,                 1.3513,                 1.2119,                 1.4702,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1159,                 1.0948,                  1.313,                0.82113,                0.79276,                0.82474,                0.55881,                 1.2442,                 1.1206,                 1.3821,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1369,                 1.0939,                 1.3523,                 0.7836,                0.78629,                 0.8582,                0.56938,                 1.2243,                  1.092,                 1.3898,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0864,                 1.1186,                 1.2913,                0.88791,                 0.6959,                0.86113,                0.55296,                 1.3509,                 1.1036,                 1.4537,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.061,                 1.0811,                 1.3073,                0.91822,                0.75063,                0.87154,                0.57597,                 1.3016,                 1.0716,                 1.4256,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0536,                 1.0863,                 1.2945,                0.87697,                0.78369,                0.89396,                0.59935,                 1.3142,                 1.0535,                 1.4489,             0.00075932,             0.00075932,             0.00075932
                     57,                  1.116,                 1.0841,                 1.3328,                0.81547,                0.80874,                0.89494,                0.57817,                 1.3105,                 1.0692,                 1.4503,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0378,                 1.0412,                 1.2853,                0.85653,                0.77987,                0.87069,                0.57449,                 1.2832,                 1.1805,                 1.3959,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0931,                 1.1362,                 1.3142,                0.83584,                0.83674,                0.88337,                0.57587,                 1.2726,                  1.073,                 1.3905,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1058,                 1.0236,                 1.3367,                0.89874,                0.79751,                0.88989,                0.62994,                   1.16,                 1.0418,                  1.295,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0598,                 1.0427,                 1.2861,                0.86367,                0.80313,                0.87999,                0.60297,                  1.263,                 1.1218,                 1.3885,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0235,                0.93728,                 1.2869,                0.84385,                0.79496,                0.86888,                0.56765,                 1.3643,                 1.2405,                 1.4992,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0989,                 1.0584,                  1.312,                0.73164,                0.84016,                0.84842,                0.54711,                 1.3915,                 1.3267,                 1.5289,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0659,                 1.0138,                 1.3307,                 0.8724,                0.80874,                0.89116,                0.60547,                 1.2556,                 1.1888,                 1.3936,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0443,                0.96447,                 1.3036,                0.92886,                0.83143,                0.90921,                0.62512,                  1.241,                 1.0629,                 1.3841,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0698,                0.98291,                 1.2984,                0.88211,                0.89144,                0.90948,                0.62145,                 1.2323,                 1.0853,                 1.3831,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0257,                0.91457,                 1.2138,                0.92005,                0.88008,                 0.9128,                0.62061,                 1.1859,                0.97551,                 1.3481,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0468,                0.98328,                 1.2703,                0.93093,                0.84825,                0.89953,                0.59179,                 1.2435,                 1.0083,                 1.3636,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0273,                0.93159,                 1.2466,                0.85791,                0.84784,                0.89617,                0.60043,                 1.2726,                0.98943,                  1.361,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0264,                0.93168,                 1.2525,                0.86196,                0.85409,                0.90219,                0.61069,                 1.2411,                0.90229,                 1.3369,             0.00052827,             0.00052827,             0.00052827
                     71,                0.96476,                0.91828,                 1.2173,                0.87511,                0.82653,                0.88219,                0.59194,                 1.2264,                 1.0095,                 1.3432,             0.00051177,             0.00051177,             0.00051177
                     72,                0.91547,                0.95723,                 1.2005,                0.83964,                0.74793,                0.87134,                 0.5832,                 1.2049,                 1.0991,                 1.3477,             0.00049527,             0.00049527,             0.00049527
                     73,                0.98489,                0.90827,                 1.2365,                0.90867,                  0.751,                0.88301,                0.59147,                  1.213,                 1.0424,                 1.3428,             0.00047876,             0.00047876,             0.00047876
                     74,                0.96872,                 0.8441,                 1.2252,                0.91799,                 0.7919,                0.91361,                0.61268,                 1.1987,                0.92053,                 1.3215,             0.00046226,             0.00046226,             0.00046226
                     75,                0.95572,                0.85325,                 1.2081,                0.93814,                0.84196,                0.92709,                0.62954,                  1.155,                0.89562,                 1.3191,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.9959,                0.93957,                 1.2519,                0.83801,                0.87296,                0.90149,                0.62199,                 1.1599,                0.94533,                 1.3312,             0.00042925,             0.00042925,             0.00042925
                     77,                0.96007,                0.88363,                 1.2168,                0.87878,                 0.8968,                0.92105,                0.64234,                 1.1703,                0.89425,                 1.2977,             0.00041275,             0.00041275,             0.00041275
                     78,                0.95679,                0.83972,                 1.2284,                0.95092,                0.81998,                  0.936,                0.64004,                  1.218,                0.85911,                 1.3133,             0.00039625,             0.00039625,             0.00039625
                     79,                0.93516,                0.84473,                 1.1933,                0.97413,                0.84403,                0.92588,                0.64581,                 1.2194,                0.86136,                 1.3438,             0.00037974,             0.00037974,             0.00037974
                     80,                0.96461,                0.86571,                 1.2734,                 0.9137,                0.85368,                0.89076,                0.61512,                  1.159,                0.91497,                 1.3465,             0.00036324,             0.00036324,             0.00036324
                     81,                0.90472,                0.84055,                 1.2167,                 0.9215,                0.82922,                0.88892,                0.63051,                 1.1251,                0.89383,                 1.3114,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.8771,                0.84157,                 1.1787,                0.92127,                0.86326,                0.88763,                0.63781,                 1.1347,                0.88907,                 1.3143,             0.00033023,             0.00033023,             0.00033023
                     83,                0.93965,                0.84526,                 1.2167,                0.92103,                0.86271,                0.89479,                 0.6264,                 1.1604,                0.85958,                 1.3421,             0.00031373,             0.00031373,             0.00031373
                     84,                0.91466,                0.85949,                 1.2307,                0.95632,                0.86688,                0.91811,                0.62786,                 1.1961,                0.81616,                 1.3768,             0.00029723,             0.00029723,             0.00029723
                     85,                0.91538,                0.80703,                 1.1887,                 0.9597,                0.85525,                0.92349,                0.64429,                  1.169,                0.79719,                 1.3378,             0.00028072,             0.00028072,             0.00028072
                     86,                0.89191,                0.81588,                 1.1958,                0.93673,                0.87917,                0.93812,                0.65356,                  1.145,                0.81407,                 1.3089,             0.00026422,             0.00026422,             0.00026422
                     87,                0.89418,                0.74724,                 1.1912,                0.93313,                0.87485,                0.93479,                0.65233,                 1.1315,                0.84009,                 1.2865,             0.00024772,             0.00024772,             0.00024772
                     88,                0.86682,                0.79419,                 1.1603,                0.94357,                0.87851,                0.92668,                0.64898,                 1.1409,                0.88343,                 1.2911,             0.00023121,             0.00023121,             0.00023121
                     89,                0.84682,                0.74705,                 1.1631,                0.94053,                0.89014,                0.92397,                0.63947,                  1.181,                0.92851,                 1.3337,             0.00021471,             0.00021471,             0.00021471
                     90,                0.86203,                0.76556,                  1.203,                0.97666,                0.84287,                0.92113,                0.64029,                 1.2044,                0.95651,                  1.349,             0.00019821,             0.00019821,             0.00019821
                     91,                0.82253,                0.69225,                 1.1383,                0.98235,                0.84584,                0.91359,                0.63528,                  1.183,                0.93794,                 1.3234,              0.0001817,              0.0001817,              0.0001817
                     92,                0.76768,                0.60502,                 1.0884,                0.97712,                0.84643,                 0.9147,                0.63352,                 1.1745,                 0.9188,                 1.3119,              0.0001652,              0.0001652,              0.0001652
                     93,                0.73723,                 0.6154,                 1.0596,                0.97883,                0.85487,                0.91542,                 0.6377,                 1.1639,                0.89303,                 1.3044,              0.0001487,              0.0001487,              0.0001487
                     94,                0.75595,                0.57214,                 1.0606,                0.97863,                0.86127,                0.92576,                0.65172,                 1.1371,                0.84797,                 1.2948,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.7765,                0.63431,                 1.0935,                0.95645,                0.89014,                0.93145,                0.65403,                 1.1067,                0.81833,                 1.2869,             0.00011569,             0.00011569,             0.00011569
                     96,                0.75485,                0.55661,                 1.0809,                0.95257,                0.88896,                0.94157,                0.66065,                  1.079,                0.78196,                 1.2691,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.73578,                0.54622,                 1.0702,                0.95042,                0.89014,                0.94049,                0.66273,                 1.0735,                0.77085,                 1.2662,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.70899,                0.53555,                 1.0493,                0.94614,                0.89014,                0.93688,                0.66503,                 1.0669,                0.78031,                 1.2614,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.70706,                0.53098,                 1.0413,                0.94795,                0.89014,                0.93626,                0.66612,                 1.0693,                0.79144,                  1.265,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.71859,                0.50849,                 1.0252,                0.95326,                0.88907,                0.93589,                0.66664,                 1.0676,                0.81251,                 1.2662,             3.3173e-05,             3.3173e-05,             3.3173e-05
